s,residual,walras
0.15,3.101144455981867e-09,0.0002713465364649892
0.3,3.1091170867110875e-09,0.0002718936884775758
0.44999999999999996,3.1173594692227815e-09,0.00027332932222634554
0.6,3.1258522611387246e-09,0.0002748860279098153
0.75,3.1341513316973696e-09,0.00027629558462649584
0.9,3.1423154519710156e-09,0.00027658988256007433
